"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
623,3717.80514272176,10101.2842969859,26792.2165986228,19359.5731537833,59970.8791921138,470048859.143702,86299593.8092352,556348452.952938,0.0552060536167931,0.0269833583509201,6,10,10,40,1.2,17,30,60,17,8,623,252,395,124
639,3721.2722660098,10103.8225008896,26737.6301303744,19292.9946264609,59855.7195237346,471524469.633574,87237865.4637246,558762335.097298,0.0552430778553942,0.0270703398732501,6,10,10,40,1.5,17,30,60,17,7,625,261,379,117
1515,4139.59943512445,9466.38757650406,24004.5163163126,19844.9551252669,57455.458453208,457142258.935213,79935213.454937,537077472.39015,0.0544866829019367,0.0260864380972667,7,10,10,40,1.2,17,22,60,17,2,320,1120,478,25
1523,4078.72131774452,12086.4339485401,22451.8767211342,21717.6760998704,60334.7080872892,461071980.426673,82406432.5363781,543478412.963051,0.0546288182384084,0.0263064146291721,7,10,10,40,1.5,14,22,60,17,10,1477,989,713,1
1531,4144.56971071805,9470.66723528029,23934.2890237298,19756.4544094238,57305.9803791519,458590041.569056,80818008.7552184,539408050.324274,0.0545233832935858,0.0261724075074797,7,10,10,40,1.5,17,22,60,17,1,324,1128,455,23
1532,4133.42785174096,9431.83532208771,25996.5279717658,20675.5039015117,60237.2950471062,459061297.96623,81117126.7453132,540178424.711543,0.0545338712150401,0.0261990053248484,7,10,10,40,1.5,17,22,60,20,9,297,1109,581,85
2287,3590.79921938053,8833.86701773025,23756.3607228781,23338.6553054048,59519.6822653937,472784627.433903,87586730.4976512,560371357.931554,0.0553560722631543,0.0272219790682027,8,9,10,40,1.2,17,30,60,17,6,113,104,889,19
2303,3594.74023791276,8837.06900307985,23686.0490366425,23254.3351034866,59372.1933811217,474263607.286782,88535859.1933663,562799466.480148,0.0553930016790214,0.0273085410087629,8,9,10,40,1.5,17,30,60,17,5,114,107,883,15
3947,3796.55114749803,8473.53417187237,26277.1257159252,20632.3546262968,59179.5656615924,456186599.366318,79163111.2286895,535349710.595007,0.0544106343441145,0.0259487063625692,10,8,10,40,1.2,17,22,60,17,4,49,389,575,101
3963,3801.40170237674,8477.98957080164,26217.9610100935,20555.2457934175,59052.5980766893,457634632.850789,80039507.3859264,537674140.236715,0.0544474388136582,0.0260348878077633,10,8,10,40,1.5,17,22,60,17,3,50,396,566,97
