"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female"
4623,3499.41693816151,8718.57950685753,31359.9488735292,46638.4849948813,90216.4303134295,249969529.683918,12418811.0103279,262388340.694246,0.0416138610904349,0.0180669744387194,11,7,8,35,1.2,17,30,60,17,258,11,10,522,106
4624,3491.2879947457,8692.11349099941,34791.2414397276,48254.1306240498,95228.7735495225,250305178.78414,12417538.1722783,262722716.956418,0.0416246707354662,0.0180669744387194,11,7,8,35,1.2,17,30,60,20,288,9,5,541,179
4640,3495.64078211407,8696.35649749757,34656.3978538814,48080.4524736779,94928.8476071709,251455469.588072,12438489.556757,263893959.144829,0.0416672392410784,0.0180669744387194,11,7,8,35,1.5,17,30,60,20,285,10,7,537,174
5387,3499.12772710807,9283.79004686355,30211.1073708538,22191.7202295273,65185.7453743528,232275465.882015,11149846.5140709,243425312.396086,0.0401814353674888,0.0180179677995464,12,6,8,35,1.2,17,22,60,17,6,54,9,202,84
5388,3492.02740675183,9261.7271994212,31882.3688743081,23152.5365414895,67788.6600219706,232592828.54737,11110599.6147174,243703428.162088,0.0401870623620167,0.0180179677995464,12,6,8,35,1.2,17,22,60,20,18,49,6,227,119
5391,3456.34328369081,9642.88110426631,25796.6245831117,32733.0358912032,71628.884862272,245997723.22369,11996403.9312415,257994127.154931,0.0412534702308683,0.0180835795197846,12,6,8,35,1.2,17,30,60,17,45,101,3,385,15
5392,3449.91789316871,9624.45392367882,28179.3654200079,33915.1580874358,75168.8953242913,246309557.274377,11985368.0439412,258294925.318319,0.0412633708089851,0.0180835795197846,12,6,8,35,1.2,17,30,60,20,87,97,1,392,49
5404,3496.07445990588,9265.66480953849,31810.658695119,23047.066520149,67619.4644847124,233694924.101717,11007562.7385845,244702486.840302,0.040212936516132,0.0180179677995464,12,6,8,35,1.5,17,22,60,20,17,51,8,224,118
5407,3460.02151349702,9646.24649031046,25709.6350779416,32608.4505678985,71424.3536496476,247138230.531499,11979185.3564103,259117415.88791,0.041296571641445,0.0180835795197846,12,6,8,35,1.5,17,30,60,17,41,102,4,384,13
5408,3453.5884333002,9627.81077334835,28081.6865712976,33784.1286621721,74947.2144401183,247452945.994731,11975214.9708094,259428160.96554,0.0413064927413136,0.0180835795197846,12,6,8,35,1.5,17,30,60,20,81,98,2,391,46
