"sim_id","HIV_neg_female","HIV_neg_male","HIV_pos_female","HIV_pos_male","tb_mort_mse_total","hiv_prev_mse_male","hiv_prev_mse_female","hiv_prev_mse","max_perc_diff_male","max_perc_diff_female","b1_contact","b2_contact","hiv2_mort","hiv3_mort","hiv4_mort","tb_hiv1_mort","tb_hiv2_mort","tb_hiv3_mort","tb_hiv4_mort","norm_hiv_prev_mse","norm_tb_mort_mse","norm_hiv_prev_tb_mort_mse","tbmort_rank_total","tbmort_HIV_neg_male","tbmort_HIV_neg_female","tbmort_HIV_pos_male","tbmort_HIV_pos_female","hivprev_rank_total","hivprev_male","hivprev_female","hiv_tb_rank"
707,3651.22912116688,10178.5080722735,20411.0664994158,27691.5635834267,61932.3672762829,471478793.060498,57574061.7466151,529052854.807113,0.0566100692809745,0.023716603192894,6,11,12,35,1.2,14,22,60,17,0.532269567302758,0.00320521563993923,0.535474782942697,10,1366,1150,952,40,4003,3987,4039,2599
715,4088.63507907233,9656.21515228595,22538.0059410576,24955.6921308945,61238.5483033104,469855513.722237,56888842.7662258,526744356.488463,0.0565241443072507,0.0236147324140991,6,11,12,35,1.2,17,22,60,17,0.529175091312642,0.00218911481967288,0.531364206132315,4,1159,1849,593,172,3966,3953,3991,2572
723,3656.55698875124,10182.9721747857,20394.8020878328,27629.9863397892,61864.317591159,473960327.400245,58126165.3611367,532086492.761381,0.0566264234189346,0.0237444035800271,6,11,12,35,1.5,14,22,60,17,0.536325824960994,0.00310580917692308,0.539431634137917,9,1370,1167,947,39,4046,4039,4071,2636
731,4098.36979473898,9666.31688269515,22524.2420377698,24899.3090578871,61188.2377730911,472335640.629265,57435558.8192944,529771199.44856,0.056540483968909,0.0236424942316479,6,11,12,35,1.5,17,22,60,17,0.533231109908469,0.00211521154684161,0.535346321455311,3,1161,1864,586,170,4015,4010,4027,2597
833,4093.42581420663,10107.5658240834,21020.7109942721,24609.0761130381,59830.7787456003,455410617.374884,50583754.9253652,505994372.300249,0.0557496801473664,0.0221130219088132,6,12,12,35,1.2,14,22,40,17,0.501050125226839,0.000109586504759249,0.501159711731599,2,1339,1853,555,70,3600,3607,3584,2408
849,4102.49535906494,10116.9218459262,20997.4808644012,24540.1484161295,59757.0464855218,457847707.996247,50985356.5787364,508833064.574983,0.0557660500034042,0.0221407254057914,6,12,12,35,1.5,14,22,40,17,0.504931362478399,0,0.504931362478399,1,1343,1871,546,69,3665,3677,3623,2433
1487,3371.78044414284,7912.98563377887,21325.5473248857,29146.3235197263,61756.6369225337,485141617.096468,62358816.8353188,547500433.931787,0.0573235617010742,0.0246235314499855,7,10,12,35,1.2,17,30,60,17,0.556759359981857,0.0029483983026762,0.559707758284533,8,228,480,1105,101,4263,4254,4278,2812
1503,3379.44898248303,7920.45189396669,21310.8257103405,29094.3374630482,61705.0640498384,487677186.041443,63021982.7053846,550699168.746827,0.0573399912594231,0.0246514232931371,7,10,12,35,1.5,17,30,60,17,0.560963581659795,0.00287295890766005,0.563836540567455,7,231,494,1099,99,4297,4295,4299,2857
2373,3425.7091348678,8743.62689591731,23158.37827167,26002.8515547152,61330.5658571703,473350938.85313,56517611.9058653,529868550.758995,0.0567068661748899,0.0233357157303104,8,10,12,35,1.2,14,30,40,17,0.533361369655998,0.00232420481400862,0.535685574470007,6,675,617,729,218,4016,4027,3969,2601
2389,3431.85891775693,8749.34011244763,23141.7111457529,25948.9152080978,61271.8253840552,475855638.006303,57055052.3267037,532910690.333007,0.0567231202372132,0.0233633713135205,8,10,12,35,1.5,14,30,40,17,0.537425855352914,0.00223798025641731,0.539663835609332,5,679,627,718,217,4058,4073,4001,2642
