"","year","sim_id","G_compartment","total_gender_pop"
"1",1990,2916,"1",48698.9448374997
"2",1990,2916,"2",51301.0551625003
"3",1990,2916,"neg",16.0139707375252
"4",1990,2916,"pos",7.52969300073537
"5",1991,2916,"1",48616.4919975166
"6",1991,2916,"2",51383.5080024835
"7",1991,2916,"neg",49.375403723616
"8",1991,2916,"pos",27.4226225443539
"9",1992,2916,"1",48533.3245427849
"10",1992,2916,"2",51466.6754572152
"11",1992,2916,"neg",82.4395519833315
"12",1992,2916,"pos",54.4974856100826
"13",1993,2916,"1",48445.8258799904
"14",1993,2916,"2",51554.1741200097
"15",1993,2916,"neg",114.323255831433
"16",1993,2916,"pos",88.6954058852116
"17",1994,2916,"1",48349.0719351685
"18",1994,2916,"2",51650.9280648317
"19",1994,2916,"neg",144.874592830803
"20",1994,2916,"pos",130.835633655581
"21",1995,2916,"1",48229.0561194252
"22",1995,2916,"2",51770.9438805749
"23",1995,2916,"neg",175.434041886373
"24",1995,2916,"pos",183.187451699569
"25",1996,2916,"1",48078.1547437345
"26",1996,2916,"2",51921.8452562656
"27",1996,2916,"neg",205.69302037051
"28",1996,2916,"pos",246.045415274045
"29",1997,2916,"1",47915.884819953
"30",1997,2916,"2",52084.1151800471
"31",1997,2916,"neg",238.055008939695
"32",1997,2916,"pos",327.127805333895
"33",1998,2916,"1",47746.8551971052
"34",1998,2916,"2",52253.1448028949
"35",1998,2916,"neg",273.977079064646
"36",1998,2916,"pos",432.489359356625
"37",1999,2916,"1",47586.5510351763
"38",1999,2916,"2",52413.4489648238
"39",1999,2916,"neg",311.454397234541
"40",1999,2916,"pos",558.700917843355
"41",2000,2916,"1",47452.8732787301
"42",2000,2916,"2",52547.12672127
"43",2000,2916,"neg",351.16302853327
"44",2000,2916,"pos",710.838542992271
"45",2001,2916,"1",47338.8800578374
"46",2001,2916,"2",52661.1199421628
"47",2001,2916,"neg",393.247596026916
"48",2001,2916,"pos",890.072470602235
"49",2002,2916,"1",47241.832827825
"50",2002,2916,"2",52758.1671721751
"51",2002,2916,"neg",437.20768330911
"52",2002,2916,"pos",1096.15385143076
"53",2003,2916,"1",47169.0866403018
"54",2003,2916,"2",52830.9133596983
"55",2003,2916,"neg",484.148478896024
"56",2003,2916,"pos",1336.37423754773
"57",2004,2916,"1",47119.7108937955
"58",2004,2916,"2",52880.2891062045
"59",2004,2916,"neg",533.596897899713
"60",2004,2916,"pos",1608.35105998738
"61",2005,2916,"1",47078.1245992785
"62",2005,2916,"2",52921.8754007216
"63",2005,2916,"neg",584.390374733659
"64",2005,2916,"pos",1897.14587269486
"65",2006,2916,"1",47032.2898848313
"66",2006,2916,"2",52967.7101151688
"67",2006,2916,"neg",636.499197007794
"68",2006,2916,"pos",2192.27304455823
"69",2007,2916,"1",46973.5498073203
"70",2007,2916,"2",53026.4501926798
"71",2007,2916,"neg",688.853924535868
"72",2007,2916,"pos",2477.54015951295
"73",2008,2916,"1",46900.2176006945
"74",2008,2916,"2",53099.7823993055
"75",2008,2916,"neg",740.416990893081
"76",2008,2916,"pos",2742.98349061216
"77",2009,2916,"1",46824.612343736
"78",2009,2916,"2",53175.3876562642
"79",2009,2916,"neg",791.288144536004
"80",2009,2916,"pos",2991.491121152
"81",2010,2916,"1",46753.2676218497
"82",2010,2916,"2",53246.7323781505
"83",2010,2916,"neg",840.61688884453
"84",2010,2916,"pos",3219.71004315134
"85",2011,2916,"1",46683.9090039096
"86",2011,2916,"2",53316.0909960905
"87",2011,2916,"neg",887.215786589641
"88",2011,2916,"pos",3422.75593267708
"89",2012,2916,"1",46612.91032277
"90",2012,2916,"2",53387.0896772302
"91",2012,2916,"neg",931.691703370145
"92",2012,2916,"pos",3614.66482265483
"93",2013,2916,"1",46540.8896070312
"94",2013,2916,"2",53459.110392969
"95",2013,2916,"neg",975.211265227186
"96",2013,2916,"pos",3800.03231496894
"97",2014,2916,"1",46468.374175744
"98",2014,2916,"2",53531.6258242563
"99",2014,2916,"neg",1018.41339123103
"100",2014,2916,"pos",3979.13818166228
"101",2015,2916,"1",46391.5690609363
"102",2015,2916,"2",53608.4309390639
"103",2015,2916,"neg",1061.20251569135
"104",2015,2916,"pos",4148.3360530125
"105",2016,2916,"1",46312.5098220464
"106",2016,2916,"2",53687.4901779537
"107",2016,2916,"neg",1102.44503653044
"108",2016,2916,"pos",4302.28712060457
"109",2017,2916,"1",46271.8397680543
"110",2017,2916,"2",53728.1602319457
"111",2017,2916,"neg",1124.19166561008
"112",2017,2916,"pos",4383.09175716484
