"year","sex","art_coverage","program_id"
1980,"Male",0,1
1981,"Male",0,1
1982,"Male",0,1
1983,"Male",0,1
1984,"Male",0,1
1985,"Male",0,1
1986,"Male",0,1
1987,"Male",0,1
1988,"Male",0,1
1989,"Male",0,1
1990,"Male",0,1
1991,"Male",0,1
1992,"Male",0,1
1993,"Male",0,1
1994,"Male",0,1
1995,"Male",0,1
1996,"Male",0,1
1997,"Male",0,1
1998,"Male",0,1
1999,"Male",0,1
2000,"Male",0,1
2001,"Male",0,1
2002,"Male",0,1
2003,"Male",0,1
2004,"Male",0.0342857142857143,1
2005,"Male",0.0685714285714286,1
2006,"Male",0.102857142857143,1
2007,"Male",0.137142857142857,1
2008,"Male",0.171428571428571,1
2009,"Male",0.205714285714286,1
2010,"Male",0.24,1
2011,"Male",0.274285714285714,1
2012,"Male",0.308571428571429,1
2013,"Male",0.342857142857143,1
2014,"Male",0.377142857142857,1
2015,"Male",0.411428571428571,1
2016,"Male",0.445714285714286,1
2017,"Male",0.48,1
2018,"Male",0.48,1
1980,"Female",0,1
1981,"Female",0,1
1982,"Female",0,1
1983,"Female",0,1
1984,"Female",0,1
1985,"Female",0,1
1986,"Female",0,1
1987,"Female",0,1
1988,"Female",0,1
1989,"Female",0,1
1990,"Female",0,1
1991,"Female",0,1
1992,"Female",0,1
1993,"Female",0,1
1994,"Female",0,1
1995,"Female",0,1
1996,"Female",0,1
1997,"Female",0,1
1998,"Female",0,1
1999,"Female",0,1
2000,"Female",0,1
2001,"Female",0,1
2002,"Female",0,1
2003,"Female",0,1
2004,"Female",0.0492857142857143,1
2005,"Female",0.0985714285714286,1
2006,"Female",0.147857142857143,1
2007,"Female",0.197142857142857,1
2008,"Female",0.246428571428571,1
2009,"Female",0.295714285714286,1
2010,"Female",0.345,1
2011,"Female",0.394285714285714,1
2012,"Female",0.443571428571429,1
2013,"Female",0.492857142857143,1
2014,"Female",0.542142857142857,1
2015,"Female",0.591428571428571,1
2016,"Female",0.640714285714286,1
2017,"Female",0.69,1
2018,"Female",0.69,1
2018,"Male",0.82,2
2018,"Female",0.83,2
2018,"Male",0.82,3
2018,"Female",0.83,3
