"year","gender_name","gender_id","year_gender","percent_hiv_compartment_2_eligible"
1980,"male",1,"1980_male",0
1981,"male",1,"1981_male",0
1982,"male",1,"1982_male",0
1983,"male",1,"1983_male",0
1984,"male",1,"1984_male",0
1985,"male",1,"1985_male",0
1986,"male",1,"1986_male",0
1987,"male",1,"1987_male",0
1988,"male",1,"1988_male",0
1989,"male",1,"1989_male",0
1990,"male",1,"1990_male",0
1991,"male",1,"1991_male",0
1992,"male",1,"1992_male",0
1993,"male",1,"1993_male",0
1994,"male",1,"1994_male",0
1995,"male",1,"1995_male",0
1996,"male",1,"1996_male",0
1997,"male",1,"1997_male",0
1998,"male",1,"1998_male",0
1999,"male",1,"1999_male",0
2000,"male",1,"2000_male",0
2001,"male",1,"2001_male",0
2002,"male",1,"2002_male",0
2003,"male",1,"2003_male",0
2004,"male",1,"2004_male",0
2005,"male",1,"2005_male",0
2006,"male",1,"2006_male",0
2007,"male",1,"2007_male",0
2008,"male",1,"2008_male",0
2009,"male",1,"2009_male",0
2010,"male",1,"2010_male",0
2011,"male",1,"2011_male",0.477429586772005
2012,"male",1,"2012_male",0.462384341077965
2013,"male",1,"2013_male",0.453607214428858
2014,"male",1,"2014_male",0.449057673232252
2015,"male",1,"2015_male",0.451354760963302
2016,"male",1,"2016_male",1
2017,"male",1,"2017_male",1
2018,"male",1,"2018_male",1
2019,"male",1,"2019_male",1
2020,"male",1,"2020_male",1
2021,"male",1,"2021_male",1
2022,"male",1,"2022_male",1
2023,"male",1,"2023_male",1
2024,"male",1,"2024_male",1
2025,"male",1,"2025_male",1
2026,"male",1,"2026_male",1
2027,"male",1,"2027_male",1
2028,"male",1,"2028_male",1
1980,"female",2,"1980_female",0
1981,"female",2,"1981_female",0
1982,"female",2,"1982_female",0
1983,"female",2,"1983_female",0
1984,"female",2,"1984_female",0
1985,"female",2,"1985_female",0
1986,"female",2,"1986_female",0
1987,"female",2,"1987_female",0
1988,"female",2,"1988_female",0
1989,"female",2,"1989_female",0
1990,"female",2,"1990_female",0
1991,"female",2,"1991_female",0
1992,"female",2,"1992_female",0
1993,"female",2,"1993_female",0
1994,"female",2,"1994_female",0
1995,"female",2,"1995_female",0
1996,"female",2,"1996_female",0
1997,"female",2,"1997_female",0
1998,"female",2,"1998_female",0
1999,"female",2,"1999_female",0
2000,"female",2,"2000_female",0
2001,"female",2,"2001_female",0
2002,"female",2,"2002_female",0
2003,"female",2,"2003_female",0
2004,"female",2,"2004_female",0
2005,"female",2,"2005_female",0
2006,"female",2,"2006_female",0
2007,"female",2,"2007_female",0
2008,"female",2,"2008_female",0
2009,"female",2,"2009_female",0
2010,"female",2,"2010_female",0
2011,"female",2,"2011_female",0.435142719208255
2012,"female",2,"2012_female",0.395340616425674
2013,"female",2,"2013_female",0.363015731671119
2014,"female",2,"2014_female",0.334786505867014
2015,"female",2,"2015_female",0.320226621222039
2016,"female",2,"2016_female",1
2017,"female",2,"2017_female",1
2018,"female",2,"2018_female",1
2019,"female",2,"2019_female",1
2020,"female",2,"2020_female",1
2021,"female",2,"2021_female",1
2022,"female",2,"2022_female",1
2023,"female",2,"2023_female",1
2024,"female",2,"2024_female",1
2025,"female",2,"2025_female",1
2026,"female",2,"2026_female",1
2027,"female",2,"2027_female",1
2028,"female",2,"2028_female",1
